Habitat,Site,Canopy_cover,Ground_cover,Nearest_canopy_spp,Disturbance,Drought,Phorids,Notes,GPS_Easting,GPS_Northing,name,Acre,Total_ants,S_invicta_present,Solenopsis_invicta,Pheidole_floridana,Pheidole_tetra,Solenopsis_texana,Camponotus_texanus,Aphenogaster_texana,Brachymyermex,Crematogaster_laeviuscula,Forelius_mccooki,Forelius_pruinosis,Monomorium_minimum,Odontomachus_clarus,Paratrechina_terricola,Pheidole_bicarinata,Pheidole_dentata,Pheidole_lamia,Pheidole_metallescens,Pheidole_pelor,Pheilode_hyati,Pseudomyrmex_brunneus,Solenopsis_geminata,Atta_texana,Camponotus_sansabeaneus,Other_species,Pachycondyla_harpax
R,1,3,0,American Elm,high,1,1,NA,105,815,student_1,52,250,1,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,2,3,1,pecan,high,0,0,yellow jackets,96,826,student_1,52,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,3,2,0,hackberry,high,1,0,yellow jackets,86,848,student_1,52,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,4,2,0,pecan,high,1,1,yellow jackets,76,848,student_1,52,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,5,3,1,pecan,low,1,1,NA,87,862,student_1,52,62,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,6,1,3,pecan,high,0,1,NA,104,842,student_1,52,20,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,7,0,2,pecan,high,2,0,NA,109,836,student_1,52,175,1,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,8,3,0,hackberry,high,1,0,NA,97,858,student_1,52,350,1,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,9,3,0,hackberry,high,1,0,flies,107,859,student_1,52,31,0,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,10,3,0,pecan,high,1,1,NA,108,877,student_1,52,200,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,11,2,1,pecan,high,1,0,beetle stole bait,123,885,student_1,52,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
