Habitat,point_number,Team,Quadrant,Location,Location_type,Location_angle,Tree_type,Distance,DBH,Drought_stress,Species,N_dead
P,1,A,a,Pond G,Pond,11,Canopy,3.3,14,FALSE,Carya illinoiensis (Pecan),0
P,1,A,b,Pond G,Pond,11,Canopy,2.9,27,FALSE,Carya illinoiensis (Pecan),0
P,1,A,c,Pond G,Pond,11,Canopy,1.6,21,FALSE,Carya illinoiensis (Pecan),0
P,1,A,d,Pond G,Pond,11,Canopy,2.9,32,FALSE,Carya illinoiensis (Pecan),1
P,1,A,b,Pond G,Pond,11,Sapling,1.3,,,Fraxinus texana (Texas ash),0
P,1,A,c,Pond G,Pond,11,Sapling,2.6,,,Carya illinoiensis (Pecan),0
P,1,A,d,Pond G,Pond,11,Sapling,4.6,,,Broussenetia papyrifera (Paper mulberry),0
P,2,A,a,Pond G,Pond,3,Canopy,3.9,21,FALSE,Juniperus ashei (Ashe’s Juniper),0
P,2,A,b,Pond G,Pond,3,Canopy,0.98,19,FALSE,Carya illinoiensis (Pecan),1
P,2,A,c,Pond G,Pond,3,Canopy,1.95,30,FALSE,Carya illinoiensis (Pecan),0
P,2,A,d,Pond G,Pond,3,Canopy,1.3,25,FALSE,Carya illinoiensis (Pecan),0
P,2,A,a,Pond G,Pond,3,Sapling,2.4,,,Bumelia lanuginosa (Gum elastic),0
P,2,A,b,Pond G,Pond,3,Sapling,0.7,,,Fraxinus texana (Texas ash),0
P,2,A,c,Pond G,Pond,3,Sapling,3.3,,,Carya illinoiensis (Pecan),0
P,2,A,d,Pond G,Pond,3,Sapling,1.3,,,Prunus caroliniana (Laurel cherry),0
P,3,A,a,Pond G,Pond,8,Canopy,2.6,6,FALSE,Salix nigra (Black Willow),0
P,3,A,b,Pond G,Pond,8,Canopy,5.2,90,FALSE,Populus deltoides (Cottonwood),0
P,3,A,c,Pond G,Pond,8,Canopy,4.8,11,FALSE,Populus deltoides (Cottonwood),1
P,3,A,d,Pond G,Pond,8,Canopy,3.9,70,FALSE,Populus deltoides (Cottonwood),0
P,3,A,a,Pond G,Pond,8,Sapling,2.4,,,Salix nigra (Black Willow),0
P,3,A,b,Pond G,Pond,8,Sapling,2.6,,,Salix nigra (Black Willow),0
P,3,A,c,Pond G,Pond,8,Sapling,5.2,,,Populus deltoides (Cottonwood),0
P,3,A,d,Pond G,Pond,8,Sapling,2.8,,,Populus deltoides (Cottonwood),0
P,10,B,a,Pond F,Pond,12,Canopy,0.5714285714285714,12,FALSE,Juniperus ashei (Ashe’s Juniper),1
P,10,B,b,Pond F,Pond,12,Canopy,0.5714285714285714,5,FALSE,Juniperus ashei (Ashe’s Juniper),1
P,10,B,c,Pond F,Pond,12,Canopy,5.714285714285714,10,FALSE,Salix nigra (Black Willow),0
P,10,B,d,Pond F,Pond,12,Canopy,1.1428571428571428,27,FALSE,Juniperus ashei (Ashe’s Juniper),0
P,10,B,a,Pond F,Pond,12,Sapling,0.5714285714285714,,FALSE,Prunus caroliniana (Laurel cherry),0
P,10,B,b,Pond F,Pond,12,Sapling,1.1428571428571428,,FALSE,Prunus caroliniana (Laurel cherry),1
P,10,B,c,Pond F,Pond,12,Sapling,3.4285714285714284,,FALSE,Sapium sebiferum (Chinese tallow),0
P,10,B,d,Pond F,Pond,12,Sapling,0.5714285714285714,,FALSE,Sapium sebiferum (Chinese tallow),0
P,11,B,a,Pond F,Pond,4,Canopy,1.7142857142857142,19,TRUE,Taxodium distichum (Bald Cypress),1
P,11,B,b,Pond F,Pond,4,Canopy,5.142857142857143,6,FALSE,Morus rubra (Red mulberry),0
P,11,B,c,Pond F,Pond,4,Canopy,3.4285714285714284,27,FALSE,Juniperus ashei (Ashe’s Juniper),0
P,11,B,d,Pond F,Pond,4,Canopy,4.571428571428571,7,FALSE,Sapium sebiferum (Chinese tallow),0
P,11,B,a,Pond F,Pond,4,Sapling,0.5714285714285714,,FALSE,Prunus caroliniana (Laurel cherry),0
P,11,B,b,Pond F,Pond,4,Sapling,1.7142857142857142,,FALSE,Prunus caroliniana (Laurel cherry),0
P,11,B,c,Pond F,Pond,4,Sapling,1.7142857142857142,,FALSE,Prunus caroliniana (Laurel cherry),0
P,11,B,d,Pond F,Pond,4,Sapling,4.571428571428571,,FALSE,Prunus caroliniana (Laurel cherry),0
P,12,B,b,Pond F,Pond,5,Canopy,9.142857142857142,17,FALSE,Carya illinoiensis (Pecan),0
P,12,B,c,Pond F,Pond,5,Canopy,3.4285714285714284,17,FALSE,Juniperus ashei (Ashe’s Juniper),0
P,12,B,d,Pond F,Pond,5,Canopy,8.571428571428571,14,FALSE,Juniperus ashei (Ashe’s Juniper),0
P,12,B,a,Pond F,Pond,5,Sapling,1.1428571428571428,,FALSE,Salix nigra (Black Willow),0
P,12,B,b,Pond F,Pond,5,Sapling,0.5714285714285714,,FALSE,Quercus fusiformis (Live oak),0
P,12,B,d,Pond F,Pond,5,Sapling,2.857142857142857,,FALSE,Prunus caroliniana (Laurel cherry),0
P,18,C,a,"Tag 45, 6.6 m",Transect,1,Canopy,8.823529411764705,8,,Ulmus crassifolia (Cedar elm),
