Habitat,point_number,Team,Quadrant,Location,Location_type,Location_angle,Tree_type,Distance,DBH,Drought_stress,Broussenetia papyrifera (Paper mulberry),Bumelia lanuginosa (Gum elastic),Carya illinoiensis (Pecan),Celtis spp. (Hackberry),Fraxinus texana (Texas ash),Juniperus ashei (Ashe’s Juniper),Melia azederach (Chinaberry),Morus rubra (Red mulberry),Populus deltoides (Cottonwood),Prosopis glandulosa (Mesquite),Prunus caroliniana (Laurel cherry),Prunus mexicana (Mexican plum),Quercus fusiformis (Live oak),Salix nigra (Black Willow),Sapium sebiferum (Chinese tallow),Taxodium distichum (Bald Cypress),Ulmus americana (American elm),Ulmus crassifolia (Cedar elm)
P,1,A,a,Pond G,Pond,11,Canopy,3.3,14,FALSE,,,1,,,,,,,,,,,,,,,
P,1,A,b,Pond G,Pond,11,Canopy,2.9,27,FALSE,,,1,,,,,,,,,,,,,,,
P,1,A,c,Pond G,Pond,11,Canopy,1.6,21,FALSE,,,1,,,,,,,,,,,,,,,
P,1,A,d,Pond G,Pond,11,Canopy,2.9,32,FALSE,,,1,,,,,,,,,,,,,,,
P,1,A,b,Pond G,Pond,11,Sapling,1.3,,,,,,,1,,,,,,,,,,,,,
P,1,A,c,Pond G,Pond,11,Sapling,2.6,,,,,1,,,,,,,,,,,,,,,
P,1,A,d,Pond G,Pond,11,Sapling,4.6,,,1,,,,,,,,,,,,,,,,,
P,2,A,a,Pond G,Pond,3,Canopy,3.9,21,FALSE,,,,,,1,,,,,,,,,,,,
P,2,A,b,Pond G,Pond,3,Canopy,0.98,19,FALSE,,,1,,,,,,,,,,,,,,,
P,2,A,c,Pond G,Pond,3,Canopy,1.95,30,FALSE,,,1,,,,,,,,,,,,,,,
P,2,A,d,Pond G,Pond,3,Canopy,1.3,25,FALSE,,,1,,,,,,,,,,,,,,,
P,2,A,a,Pond G,Pond,3,Sapling,2.4,,,,1,,,,,,,,,,,,,,,,
P,2,A,b,Pond G,Pond,3,Sapling,0.7,,,,,,,1,,,,,,,,,,,,,
P,2,A,c,Pond G,Pond,3,Sapling,3.3,,,,,1,,,,,,,,,,,,,,,
P,2,A,d,Pond G,Pond,3,Sapling,1.3,,,,,,,,,,,,,1,,,,,,,
P,3,A,a,Pond G,Pond,8,Canopy,2.6,6,FALSE,,,,,,,,,,,,,,1,,,,
P,3,A,b,Pond G,Pond,8,Canopy,5.2,90,FALSE,,,,,,,,,1,,,,,,,,,
P,3,A,c,Pond G,Pond,8,Canopy,4.8,11,FALSE,,,,,,,,,1,,,,,,,,,
P,3,A,d,Pond G,Pond,8,Canopy,3.9,70,FALSE,,,,,,,,,1,,,,,,,,,
P,3,A,a,Pond G,Pond,8,Sapling,2.4,,,,,,,,,,,,,,,,1,,,,
P,3,A,b,Pond G,Pond,8,Sapling,2.6,,,,,,,,,,,,,,,,1,,,,
P,3,A,c,Pond G,Pond,8,Sapling,5.2,,,,,,,,,,,1,,,,,,,,,
P,3,A,d,Pond G,Pond,8,Sapling,2.8,,,,,,,,,,,1,,,,,,,,,
P,10,B,a,Pond F,Pond,12,Canopy,0.5714285714285714,12,FALSE,,,,,,1,,,,,,,,,,,,
P,10,B,b,Pond F,Pond,12,Canopy,0.5714285714285714,5,FALSE,,,,,,1,,,,,,,,,,,,
P,10,B,c,Pond F,Pond,12,Canopy,5.714285714285714,10,FALSE,,,,,,,,,,,,,,1,,,,
P,10,B,d,Pond F,Pond,12,Canopy,1.1428571428571428,27,FALSE,,,,,,1,,,,,,,,,,,,
P,10,B,a,Pond F,Pond,12,Sapling,0.5714285714285714,,FALSE,,,,,,,,,,,1,,,,,,,
P,10,B,b,Pond F,Pond,12,Sapling,1.1428571428571428,,FALSE,,,,,,,,,,,1,,,,,,,
P,10,B,c,Pond F,Pond,12,Sapling,3.4285714285714284,,FALSE,,,,,,,,,,,,,,,1,,,
P,10,B,d,Pond F,Pond,12,Sapling,0.5714285714285714,,FALSE,,,,,,,,,,,,,,,1,,,
P,11,B,a,Pond F,Pond,4,Canopy,1.7142857142857142,19,TRUE,,,,,,,,,,,,,,,,1,,
P,11,B,b,Pond F,Pond,4,Canopy,5.142857142857143,6,FALSE,,,,,,,,1,,,,,,,,,,
P,11,B,c,Pond F,Pond,4,Canopy,3.4285714285714284,27,FALSE,,,,,,1,,,,,,,,,,,,
P,11,B,d,Pond F,Pond,4,Canopy,4.571428571428571,7,FALSE,,,,,,,,,,,,,,,1,,,
P,11,B,a,Pond F,Pond,4,Sapling,0.5714285714285714,,FALSE,,,,,,,,,,,1,,,,,,,
P,11,B,b,Pond F,Pond,4,Sapling,1.7142857142857142,,FALSE,,,,,,,,,,,1,,,,,,,
P,11,B,c,Pond F,Pond,4,Sapling,1.7142857142857142,,FALSE,,,,,,,,,,,1,,,,,,,
P,11,B,d,Pond F,Pond,4,Sapling,4.571428571428571,,FALSE,,,,,,,,,,,1,,,,,,,
P,12,B,b,Pond F,Pond,5,Canopy,9.142857142857142,17,FALSE,,,1,,,,,,,,,,,,,,,
P,12,B,c,Pond F,Pond,5,Canopy,3.4285714285714284,17,FALSE,,,,,,1,,,,,,,,,,,,
P,12,B,d,Pond F,Pond,5,Canopy,8.571428571428571,14,FALSE,,,,,,1,,,,,,,,,,,,
P,12,B,a,Pond F,Pond,5,Sapling,1.1428571428571428,,FALSE,,,,,,,,,,,,,,1,,,,
P,12,B,b,Pond F,Pond,5,Sapling,0.5714285714285714,,FALSE,,,,,,,,,,,,,1,,,,,
P,12,B,d,Pond F,Pond,5,Sapling,2.857142857142857,,FALSE,,,,,,,,,,,1,,,,,,,
P,18,C,a,"Tag 45, 6.6 m",Transect,1,Canopy,8.823529411764705,8,,,,,,,,,,,,,,,,,,,1
P,18,C,b,"Tag 45, 6.6 m",Transect,1,Canopy,6.617647058823529,12,,,,,1,,,,,,,,,,,,,,
P,18,C,c,"Tag 45, 6.6 m",Transect,1,Canopy,3.676470588235294,13,,,,,1,,,,,,,,,,,,,,
P,18,C,d,"Tag 45, 6.6 m",Transect,1,Canopy,1.102941176470588,60,,,,,,,,,,1,,,,,,,,,
P,18,C,a,"Tag 45, 6.6 m",Transect,1,Sapling,2.941176470588235,,,,,,,,1,,,,,,,,,,,,
P,18,C,b,"Tag 45, 6.6 m",Transect,1,Sapling,2.205882352941176,,,,,,,,,,,,,,,,,,,,1
P,18,C,c,"Tag 45, 6.6 m",Transect,1,Sapling,10.294117647058822,,,,1,,,,,,,,,,,,,,,,
P,18,C,d,"Tag 45, 6.6 m",Transect,1,Sapling,29.41176470588235,,,,,,,,,,,,1,,,,,,,,
P,19,C,a,"Tag 46, 38.2 m",Transect,11,Canopy,1.4705882352941175,12,FALSE,,,,,,1,,,,,,,,,,,,
P,19,C,b,"Tag 46, 38.2 m",Transect,11,Canopy,9.558823529411764,15,FALSE,,,,,,1,,,,,,,,,,,,
P,19,C,c,"Tag 46, 38.2 m",Transect,11,Canopy,0.7352941176470588,6,FALSE,1,,,,,,,,,,,,,,,,,
P,19,C,d,"Tag 46, 38.2 m",Transect,11,Canopy,7.720588235294117,14,TRUE,,,,,,,,,,,,,1,,,,,
P,19,C,a,"Tag 46, 38.2 m",Transect,11,Sapling,5.147058823529411,,FALSE,,,,,,1,,,,,,,,,,,,
P,19,C,b,"Tag 46, 38.2 m",Transect,11,Sapling,5.88235294117647,,TRUE,,,,,,1,,,,,,,,,,,,
P,19,C,c,"Tag 46, 38.2 m",Transect,11,Sapling,8.088235294117647,,FALSE,,,,1,,,,,,,,,,,,,,
P,19,C,d,"Tag 46, 38.2 m",Transect,11,Sapling,7.720588235294117,,FALSE,,,,,,,,,,,,,,,,,,1
P,20,C,a,"Tag 46, 6.6 m",Transect,1,Canopy,4.044117647058823,7,,,,,,,1,,,,,,,,,,,,
P,20,C,b,"Tag 46, 6.6 m",Transect,1,Canopy,2.205882352941176,14,,,,,,,1,,,,,,,,,,,,
P,20,C,c,"Tag 46, 6.6 m",Transect,1,Canopy,4.779411764705882,10.5,,,,,,,1,,,,,,,,,,,,
P,20,C,d,"Tag 46, 6.6 m",Transect,1,Canopy,2.205882352941176,30,,,,,,,1,,,,,,,,,,,,
P,20,C,a,"Tag 46, 6.6 m",Transect,1,Sapling,8.823529411764705,,,,,,,,,,,,,,,,,,,,1
P,20,C,b,"Tag 46, 6.6 m",Transect,1,Sapling,2.941176470588235,,,,,,,,,,,,,,,1,,,,,
P,20,C,c,"Tag 46, 6.6 m",Transect,1,Sapling,6.249999999999999,,,,,,,,1,,,,,,,,,,,,
P,27,D,a,Pond D,Pond,1,Canopy,3.3333333333333335,5,TRUE,,,,,,1,,,,,,,,,,,,
P,27,D,b,Pond D,Pond,1,Canopy,8,18,FALSE,,,,,,,,,,,,,1,,,,,
P,27,D,c,Pond D,Pond,1,Canopy,4,32,FALSE,,,,,,1,,,,,,,,,,,,
P,27,D,d,Pond D,Pond,1,Canopy,5.333333333333333,25,TRUE,,,,,,1,,,,,,,,,,,,
P,28,D,a,Pond D,Pond,10,Canopy,4,10,FALSE,,,,,,,,,,,,,1,,,,,
P,28,D,b,Pond D,Pond,10,Canopy,6.666666666666667,13,FALSE,,,,,,,,1,,,,,,,,,,
P,28,D,c,Pond D,Pond,10,Canopy,8.666666666666666,17,FALSE,,,,,,1,,,,,,,,,,,,
P,28,D,d,Pond D,Pond,10,Canopy,4,16,FALSE,,,,,,1,,,,,,,,,,,,
P,28,D,d,Pond D,Pond,10,Sapling,2.6666666666666665,,,,,,,,1,,,,,,,,,,,,
P,29,D,a,Pond D,Pond,2,Canopy,2,1.5,TRUE,,,,,,1,,,,,,,,,,,,
P,29,D,b,Pond D,Pond,2,Canopy,2.6666666666666665,2,TRUE,,,,,,,,,,,1,,,,,,,
P,29,D,c,Pond D,Pond,2,Canopy,2.6666666666666665,11,FALSE,,,,,,,,1,,,,,,,,,,
P,29,D,d,Pond D,Pond,2,Canopy,6,12,TRUE,,,,,,1,,,,,,,,,,,,
P,29,D,b,Pond D,Pond,2,Sapling,3.3333333333333335,,,,,,,,,,,,,1,,,,,,,
P,29,D,c,Pond D,Pond,2,Sapling,3.3333333333333335,,,,,,,,,,,,,1,,,,,,,
P,36,E,a,Pond C,Pond,2,Canopy,3,9,FALSE,,,,1,,,,,,,,,,,,,,
P,36,E,b,Pond C,Pond,2,Canopy,2,10,FALSE,,,,,,1,,,,,,,,,,,,
P,36,E,d,Pond C,Pond,2,Canopy,10,17,FALSE,,,,,,1,,,,,,,,,,,,
P,37,E,a,Pond C,Pond,3,Canopy,3,3,FALSE,,,,1,,,,,,,,,,,,,,
P,37,E,b,Pond C,Pond,3,Canopy,2,12,FALSE,,,,,,,,,,,,,,,,1,,
P,37,E,c,Pond C,Pond,3,Canopy,3.5,10.5,FALSE,,,,1,,,,,,,,,,,,,,
P,37,E,d,Pond C,Pond,3,Canopy,5,5.5,FALSE,,,,1,,,,,,,,,,,,,,
P,38,E,a,Pond C,Pond,6,Canopy,1.5,3,FALSE,,,,,,,,,,,,,,,,,,1
P,38,E,b,Pond C,Pond,6,Canopy,1,20,FALSE,,,,,,,,,,,,,,,,,,1
P,38,E,c,Pond C,Pond,6,Canopy,1.5,20,FALSE,,,,,,,,,,,,,,,,,,1
P,38,E,d,Pond C,Pond,6,Canopy,2,3,FALSE,,,,,,,,,,,,,,,,,,1
P,38,E,b,Pond C,Pond,6,Sapling,3,,FALSE,,,,,,,,,,,,,,,,,,1
Q,4,A,a,"Tag 18, 12 m",Transect,2,Canopy,3.9,26,TRUE,,,,,,1,,,,,,,,,,,,
Q,4,A,b,"Tag 18, 12 m",Transect,2,Canopy,5.2,28,TRUE,,,,,,,,,,,,,,,,,,1
Q,4,A,c,"Tag 18, 12 m",Transect,2,Canopy,1.3,15,TRUE,,,,,,,,,,,,,,,,,,1
Q,4,A,d,"Tag 18, 12 m",Transect,2,Canopy,4.55,11,TRUE,,,,,,,,,,,,,,,,,,1
Q,4,A,a,"Tag 18, 12 m",Transect,2,Sapling,1.95,,,,,,1,,,,,,,,,,,,,,
Q,4,A,b,"Tag 18, 12 m",Transect,2,Sapling,2.6,,,,,,,,,1,,,,,,,,,,,
Q,4,A,c,"Tag 18, 12 m",Transect,2,Sapling,3.9,,,,,,,,,1,,,,,,,,,,,
Q,4,A,d,"Tag 18, 12 m",Transect,2,Sapling,3.9,,,,,,,1,,,,,,,,,,,,,
Q,5,A,a,"Tag 18, 15 m",Transect,7,Canopy,3.25,25,TRUE,,,,,,1,,,,,,,,,,,,
Q,5,A,c,"Tag 18, 15 m",Transect,7,Canopy,2.28,28,TRUE,,,,,,1,,,,,,,,,,,,
Q,5,A,d,"Tag 18, 15 m",Transect,7,Canopy,6.24,19,TRUE,,,,,,,,,,,,,,,,,,1
Q,5,A,a,"Tag 18, 15 m",Transect,7,Sapling,2.6,,,,,,,,,,,,,,,1,,,,,
Q,5,A,c,"Tag 18, 15 m",Transect,7,Sapling,2.93,,,,,,,,,,,,,,,1,,,,,
Q,5,A,d,"Tag 18, 15 m",Transect,7,Sapling,3.58,,,,,,1,,,,,,,,,,,,,,
Q,6,A,a,"Tag 18, 20 m",Transect,10,Canopy,0.98,23,TRUE,,,,,,,,,,,,,,,,,,1
Q,6,A,b,"Tag 18, 20 m",Transect,10,Canopy,3.25,14,TRUE,,,,,,,,,,,,,,,,,,1
Q,6,A,c,"Tag 18, 20 m",Transect,10,Canopy,9.75,16,TRUE,,,,,,,,,,,,,,,,,,1
Q,6,A,d,"Tag 18, 20 m",Transect,10,Canopy,6.75,22,TRUE,,,,,,,,,,,,,,,,,,1
Q,6,A,a,"Tag 18, 20 m",Transect,10,Sapling,2.11,,,,,,,,,,,,,,,1,,,,,
Q,6,A,b,"Tag 18, 20 m",Transect,10,Sapling,2.6,,,,,,,,,,,,,,,1,,,,,
Q,6,A,d,"Tag 18, 20 m",Transect,10,Sapling,2.5,,,,,,,,1,,,,,,,,,,,,
Q,13,B,a,"Tag 123, 5.7 m",Transect,2,Canopy,1.7142857142857142,8.5,TRUE,,,,,,,,,,,,,,,,,,1
Q,13,B,b,"Tag 123, 5.7 m",Transect,2,Canopy,2.2857142857142856,14,TRUE,,,,,,,,,,,,,,,,,,1
Q,13,B,c,"Tag 123, 5.7 m",Transect,2,Canopy,3.4285714285714284,17,TRUE,,,,,,,,,,,,,,,,,,1
Q,13,B,d,"Tag 123, 5.7 m",Transect,2,Canopy,6.857142857142857,16,TRUE,,,,,,,,,,,,,,,,,,1
Q,14,B,a,"Tag 123, 5.7 m",Transect,9,Canopy,2.857142857142857,17,FALSE,,,,,,,,,,,,,,,,,,1
Q,14,B,b,"Tag 123, 5.7 m",Transect,9,Canopy,1.1428571428571428,12,FALSE,,,,,,,,,,,,,,,,,,1
Q,14,B,d,"Tag 123, 5.7 m",Transect,9,Canopy,5.142857142857143,7,TRUE,,,,,,,,,,,,,,,,,,1
Q,15,B,a,"Tag 125, 0.6 m",Transect,5,Canopy,4,19,FALSE,,,,,,1,,,,,,,,,,,,
Q,15,B,b,"Tag 125, 0.6 m",Transect,5,Canopy,2.857142857142857,14,FALSE,,,,1,,,,,,,,,,,,,,
Q,15,B,c,"Tag 125, 0.6 m",Transect,5,Canopy,1.7142857142857142,7,FALSE,,,,,,1,,,,,,,,,,,,
Q,15,B,d,"Tag 125, 0.6 m",Transect,5,Canopy,3.4285714285714284,29,FALSE,,,,,,,,,,,,,,,,,,1
Q,21,C,a,"Tag 146, 16.2 m",Transect,12,Canopy,2.941176470588235,7,,,,,,,1,,,,,,,,,,,,
Q,21,C,b,"Tag 146, 16.2 m",Transect,12,Canopy,9.558823529411764,25,,,,,,,,,,,,,,,,,,,1
Q,21,C,c,"Tag 146, 16.2 m",Transect,12,Canopy,4.044117647058823,11,,,,,,,1,,,,,,,,,,,,
Q,21,C,d,"Tag 146, 16.2 m",Transect,12,Canopy,5.88235294117647,18,,,,,,,1,,,,,,,,,,,,
Q,21,C,a,"Tag 146, 16.2 m",Transect,12,Sapling,3.3088235294117645,,,,,,,,,,,,,,,,,,,,1
Q,21,C,b,"Tag 146, 16.2 m",Transect,12,Sapling,1.838235294117647,,,,,,,,,,,,,,,,,,,,1
Q,21,C,c,"Tag 146, 16.2 m",Transect,12,Sapling,2.205882352941176,,,,,,,,,,,,,,,,,,,,1
Q,21,C,d,"Tag 146, 16.2 m",Transect,12,Sapling,3.676470588235294,,TRUE,,,,,,,,,,,,,,,,,,1
Q,22,C,a,"Tag 146, 9.6 m",Transect,9,Canopy,4.044117647058823,23,,,,,,,,,,,,,,,,,,,1
Q,22,C,b,"Tag 146, 9.6 m",Transect,9,Canopy,8.455882352941176,12,,,,,,,,,,,,,,,,,,,1
Q,22,C,c,"Tag 146, 9.6 m",Transect,9,Canopy,2.205882352941176,10,,,,,,,,,,,,,,,,,,,1
Q,22,C,d,"Tag 146, 9.6 m",Transect,9,Canopy,9.558823529411764,23,,,,,,,1,,,,,,,,,,,,
Q,22,C,a,"Tag 146, 9.6 m",Transect,9,Sapling,7.352941176470588,,,,,,,,,,,,,,,,,,,,1
Q,22,C,b,"Tag 146, 9.6 m",Transect,9,Sapling,3.676470588235294,,,,,,,,,,,,,,,,,,,,1
